date,closing,adjusted,evolution,quantity,volume
2021-10-03,1148.0,1148.0,0.44,1.0,1148.0
2021-10-05,1190.0,1190.0,0.08,1.0,1190.0
2021-10-06,1190.0,1190.0,-0.83,1.0,1190.0
2021-10-09,1220.0,1220.0,0.0,1.0,1220.0
2021-10-11,1360.0,1360.0,0.0,1.0,1360.0
2021-10-12,1319.0,1319.0,1.85,39.0,51441.0
2021-10-13,1329.0,1329.0,5.48,85.0,110675.0
2021-10-14,1335.0,1335.0,0.45,1.0,1335.0
2021-10-15,1335.0,1335.0,0.0,1.0,1335.0
2021-10-18,1362.0,1362.0,2.02,12.0,16317.0
2021-10-21,1387.0,1387.0,1.84,1.0,1387.0
2021-10-22,1361.0,1361.0,-1.87,4.0,5446.0
2021-10-25,1361.0,1361.0,0.0,41.0,55801.0
2021-10-26,1361.0,1361.0,0.0,9.0,12249.0
2021-10-27,1365.0,1365.0,0.29,41.0,55965.0
2021-10-28,1361.0,1361.0,-0.29,1.0,1361.0
2021-10-29,1361.0,1361.0,0.0,1.0,1361.0
2021-11-02,1163.0,1163.0,1.93,10.0,11630.0
2021-11-03,1148.0,1148.0,0.0,1.0,1148.0
2021-11-05,1190.0,1190.0,0.0,1.0,1190.0
2021-11-06,1220.0,1220.0,2.52,1.0,1220.0
2021-11-08,1246.0,1246.0,0.0,1.0,1246.0
2021-11-10,1260.0,1260.0,0.0,1.0,1260.0
2021-11-11,1360.0,1360.0,0.0,1.0,1360.0
